,barcodes,ms_leiden_2.5,AIFI_L1,AIFI_L2,AIFI_L3
12744,1516451efec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12745,15174806fec611eb87dc9ec311f9e9a6,5,B cell ,Memory B cell,Core memory B cell
12746,1518534afec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Core memory B cell
12747,15190c2cfec611eb87dc9ec311f9e9a6,0,B cell ,Memory B cell,Core memory B cell
12748,1519c69efec611eb87dc9ec311f9e9a6,13,B cell ,Memory B cell,Core memory B cell
12749,1519d63efec611eb87dc9ec311f9e9a6,0,B cell ,Memory B cell,Core memory B cell
12750,151a989efec611eb87dc9ec311f9e9a6,4,B cell ,Memory B cell,Core memory B cell
12751,151b0572fec611eb87dc9ec311f9e9a6,4,B cell ,Memory B cell,Core memory B cell
12752,151b7caafec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12753,151b88b2fec611eb87dc9ec311f9e9a6,5,B cell ,Memory B cell,Core memory B cell
12754,151bbcbafec611eb87dc9ec311f9e9a6,1,B cell ,Memory B cell,Core memory B cell
12755,151be87afec611eb87dc9ec311f9e9a6,6,B cell ,Memory B cell,Core memory B cell
12756,151c7f42fec611eb87dc9ec311f9e9a6,7,B cell ,Memory B cell,Core memory B cell
12757,7767813efecf11eb83ae4a767d1dceb9,16,Dying cells,Dying cells,Dying cells
12758,7767f998fecf11eb83ae4a767d1dceb9,4,B cell ,Memory B cell,Core memory B cell
12759,77681982fecf11eb83ae4a767d1dceb9,5,B cell ,Memory B cell,Core memory B cell
12760,776a8fc8fecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12761,776ae928fecf11eb83ae4a767d1dceb9,2,B cell ,Memory B cell,Core memory B cell
12762,776c37e2fecf11eb83ae4a767d1dceb9,8,B cell ,Memory B cell,Core memory B cell
12763,776d1bdafecf11eb83ae4a767d1dceb9,16,Dying cells,Dying cells,Dying cells
12764,776d952efecf11eb83ae4a767d1dceb9,4,B cell ,Memory B cell,Core memory B cell
12765,776db1b2fecf11eb83ae4a767d1dceb9,0,B cell ,Memory B cell,Core memory B cell
12766,776eb6c0fecf11eb83ae4a767d1dceb9,9,B cell ,Naive B cell,Core naive B cell
12767,77700c46fecf11eb83ae4a767d1dceb9,5,B cell ,Memory B cell,Core memory B cell
12768,7771a178fecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Early memory B cell
12769,7771d710fecf11eb83ae4a767d1dceb9,9,B cell ,Memory B cell,Early memory B cell
12770,7772c29cfecf11eb83ae4a767d1dceb9,7,B cell ,Memory B cell,Core memory B cell
12771,7773121afecf11eb83ae4a767d1dceb9,4,B cell ,Memory B cell,Core memory B cell
12772,77746b6afecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12773,77751920fecf11eb83ae4a767d1dceb9,13,B cell ,Memory B cell,Early memory B cell
12774,7777b716fecf11eb83ae4a767d1dceb9,4,B cell ,Memory B cell,Core memory B cell
12775,7778d88afecf11eb83ae4a767d1dceb9,0,B cell ,Memory B cell,Core memory B cell
12776,777f4d96fecf11eb83ae4a767d1dceb9,0,B cell ,Memory B cell,Early memory B cell
12777,777f9f4efecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12778,77806e74fecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12779,77808878fecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12780,7782b80afecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12781,77845a98fecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12782,7785adf8fecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12783,7785cb6cfecf11eb83ae4a767d1dceb9,4,B cell ,Memory B cell,Core memory B cell
12784,7787c02afecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12785,778aa998fecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12786,778b053cfecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12787,778b3f34fecf11eb83ae4a767d1dceb9,15,B cell ,Memory B cell,Activated memory B cell
12788,778d3aaafecf11eb83ae4a767d1dceb9,0,B cell ,Memory B cell,Early memory B cell
12789,778eceecfecf11eb83ae4a767d1dceb9,10,B cell ,Memory B cell,Core memory B cell
12790,778f6c26fecf11eb83ae4a767d1dceb9,5,B cell ,Memory B cell,Core memory B cell
12791,77908c64fecf11eb83ae4a767d1dceb9,9,B cell ,Memory B cell,Early memory B cell
12792,7791fcdefecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Early memory B cell
12793,7792dd70fecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12794,77945ff6fecf11eb83ae4a767d1dceb9,7,B cell ,Memory B cell,Core memory B cell
12795,7794853afecf11eb83ae4a767d1dceb9,6,B cell ,Memory B cell,Core memory B cell
12796,77951162fecf11eb83ae4a767d1dceb9,0,B cell ,Memory B cell,Early memory B cell
12797,7795bf72fecf11eb83ae4a767d1dceb9,5,B cell ,Memory B cell,Core memory B cell
12798,779d189efecf11eb83ae4a767d1dceb9,4,B cell ,Memory B cell,Core memory B cell
12799,779d4b3efecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12800,779dece2fecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12801,77a1d2c6fecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
12802,77a203e0fecf11eb83ae4a767d1dceb9,5,B cell ,Memory B cell,Core memory B cell
12803,77a21b6efecf11eb83ae4a767d1dceb9,2,B cell ,Memory B cell,Core memory B cell
12804,77a38fa8fecf11eb83ae4a767d1dceb9,5,B cell ,Memory B cell,Core memory B cell
12805,77a440e2fecf11eb83ae4a767d1dceb9,1,B cell ,Memory B cell,Core memory B cell
